ETIQUETA,NUMERO ANTERIOR,TIPO,DESCRIPCIÓN,MODELO,SERIE
25,COM005487,IMPRESORA/ MULTIFUNCIONAL,S/N,P3015DN,VNBC99Q0DZ
32,COM005499,IMPRESORA/ MULTIFUNCIONAL,S/N,P3015DN,VNBC99Q0FD
36,COM007002,EQUIPO DE CÓMPUTO,TECLADO YB6M2  MOUSE HP BOCINA BM01,PAVILION,CNH7481R5Q
56,COM007015,EQUIPO DE CÓMPUTO,TECLADO BC3370BGAUL106  MOUSE FB7330AUUU025M,DX2900,CNX7251QC6
66,COM007021,SCANNER/ MICROSCANNER,S/N,SCANJET 5590,SCN848TH1GC
71,COM007022,NO BREAK/ REGULADOR/ ACONDICIONADOR ENERGÍA/ FIREWALLS,S/N,OMNIVS 1500 XL,9608ALROM632500171
77,COM007034,IMPRESORA/ MULTIFUNCIONAL,S/N,P3005,CND1G01563
82,COM007041,EQUIPO DE CÓMPUTO,S/N,DV6-6167LA,5CH1280B62
95,COM007053,SCANNER/ MICROSCANNER,S/N,SCANJET 5590,CN768TR05K
106,MOB014779,ALACENA,S/N,S/N,S/N
110,LAB000667,ALCOHOLÍMETRO,"ELECTROQUÍMICO, RANGO DE MEDIDA DE  DE MUESTRAS ESTÁNDAR (AK8844)",DALCOTEST 6820,S/N
115,COM007060,LECTOR DE CÓDIGO DE BARRAS/ LECTOR INALÁMBRICO/ MEDIOS TIPO BARRA,S/N,LS2106-I000,OUOFA7
120,COM007072,EQUIPO DE CÓMPUTO,S/N,DV6-6167LA,5CH1280B6N
128,COM007085,EQUIPO DE CÓMPUTO,S/N,SATELLITE,31253157U
138,COM007134,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR",VOSTRO 430,GB91SL1
147,COM007136,EQUIPO DE CÓMPUTO,TECLADO BC3370GVBXD31C Y MOUSE,DC7900,MXJ9300BPH
158,COM007145,EQUIPO DE CÓMPUTO,TECLADO BC330GVBXD31D Y MOUSE,DC7900,MXJ92806QP
165,COM007149,EQUIPO DE CÓMPUTO,TECLADO BC3370GVBXBAET Y MOUSE,DC7900,MXJ9300BNJ
171,COM007150,EQUIPO DE CÓMPUTO,TECLADO BC330GVBXD319 Y MOUSE,DC7900,MXJ9300BPF
176,COM007152,EQUIPO DE CÓMPUTO,TECLADO BC3370GVBX757A Y MOUSE,DC7900,MXJ92806RG
181,COM007153,EQUIPO DE CÓMPUTO,TECLADO  BC3370GVBX7A7A Y MOUSE,DC7900,MXJ9250B2J
184,COM007154,EQUIPO DE CÓMPUTO,TECLADO BC3370GVBX7ACL Y MOUSE,DC7900,MXJ9250B37
188,COM007156,EQUIPO DE CÓMPUTO,TECLADO BC330GVBXD24G  Y  MOUSE,DC7900,MXJ9300BNL
201,MOB041828,ARCHIVERO,"DE CINCO CARRILES, CON CIERRES DE SEGURIDAD CONFIGURACIÓN MECÁNICA Y MANUAL. (FACTURA MEX1562)",S/N,S/N
205,MAQ006614,ARCOS DE LECTURA,FACT 315 ARCO DE LECTURA RFID/LPR INCLUYE: LICENCIA PERMANENTE PARA INTEGRACION AL SISTEMA DE MONITOREO DE PORTERIAS ACTUAL. SERVICIO DE INSTALACION  PP 5651,S/N,S/N
211,MAQ006615,ARCOS DE LECTURA,FACT 315 ARCO DE LECTURA RFID/LPR INCLUYE: LICENCIA PERMANENTE PARA INTEGRACION AL SISTEMA DE MONITOREO DE PORTERIAS ACTUAL. SERVICIO DE INSTALACION PP 5651,S/N,S/N
216,MAQ006616,ARCOS DE LECTURA,FACT 315 ARCO DE LECTURA RFID/LPR INCLUYE: LICENCIA PERMANENTE PARA INTEGRACION AL SISTEMA DE MONITOREO DE PORTERIAS ACTUAL. SERVICIO DE INSTALACION PP 5651,S/N,S/N
220,MAQ006512,ARCOS DE LECTURA,"FACT 000373 ARCO DE LECTURA RFID/LPR INCLUYE: LICENCIA PERMANENTE PARA INTEGRACION AL SISTEMA DE MONITOREO DE PORTERIAS ACTUAL, SERVICIO DE INSTALACION EN ARCO FIJO PP 5651",S/N,S/N
230,COM007170,EQUIPO DE CÓMPUTO,TECLADO CN0KHCC77161616O019TA00  Y MOUSE,OPTIPLEX 390,JOSQSR1
237,COM007176,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR",OPTIPLEX 390,J0VKSR1
238,COM007178,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR",OPTIPLEX 390,J0TNSR1
243,COM007179,EQUIPO DE CÓMPUTO,"INCLUYE MOUSE, TECLADO Y MONITOR",OPTIPLEX 390,J0SLSR1
